seed,num_landmarks,trajectory_name,u_noise,h_noise,correct_match_count,wrong_match_count,bad_new_creation_count,new_object_match_count
727,3,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",239,0,0,0
727,3,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",238,0,1,0
727,3,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",231,0,8,0
727,3,spiral_2,"[1, 1]","[2.0, 3.0]",236,0,0,0
727,3,spiral_2,"[1, 1]","[20.0, 25.0]",234,0,2,0
727,3,spiral_2,"[1, 1]","[40.0, 50.0]",229,0,7,0
727,3,spiral_2,"[2, 2]","[2.0, 3.0]",229,0,3,0
727,3,spiral_2,"[2, 2]","[20.0, 25.0]",228,0,4,0
727,3,spiral_2,"[2, 2]","[40.0, 50.0]",223,0,9,0
727,20,square_1,"[0.1, 0.1]","[2.0, 3.0]",724,0,1,0
727,20,square_1,"[0.1, 0.1]","[20.0, 25.0]",716,0,9,0
727,20,square_1,"[0.1, 0.1]","[40.0, 50.0]",690,0,35,0
727,20,square_1,"[0.5, 0.5]","[2.0, 3.0]",723,0,0,0
727,20,square_1,"[0.5, 0.5]","[20.0, 25.0]",714,0,9,0
727,20,square_1,"[0.5, 0.5]","[40.0, 50.0]",691,0,32,0
727,20,square_1,"[1, 1]","[2.0, 3.0]",720,0,1,0
727,20,square_1,"[1, 1]","[20.0, 25.0]",711,0,10,0
727,20,square_1,"[1, 1]","[40.0, 50.0]",683,0,38,0
727,20,square_1,"[2, 2]","[2.0, 3.0]",738,0,2,0
727,20,square_1,"[2, 2]","[20.0, 25.0]",726,0,14,0
727,20,square_1,"[2, 2]","[40.0, 50.0]",701,0,39,0
727,20,square_2,"[0.1, 0.1]","[2.0, 3.0]",427,0,0,0
727,20,square_2,"[0.1, 0.1]","[20.0, 25.0]",419,0,8,0
727,20,square_2,"[0.1, 0.1]","[40.0, 50.0]",404,0,23,0
727,20,square_2,"[0.5, 0.5]","[2.0, 3.0]",433,0,0,0
727,20,square_2,"[0.5, 0.5]","[20.0, 25.0]",426,0,7,0
727,20,square_2,"[0.5, 0.5]","[40.0, 50.0]",411,0,22,0
727,20,square_2,"[1, 1]","[2.0, 3.0]",426,0,0,0
